Марка;Ссылка;Цена в $;Цена в UAH;Город
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1851026.html;25 979 $;726 560 грн;Днепр (Днепропетровск)
Opel Insignia 2019Innovation Navi Grand Sport 2.0D AT (170 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-insignia-1825592.html;33 253 $;930 000 грн;Днепр (Днепропетровск)
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1843291.html;21 850 $;611 080 грн;Запорожье
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1848304.html;21 823 $;610 330 грн;Одесса
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1854779.html;23 638 $;661 080 грн;Днепр (Днепропетровск)
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1846318.html;20 785 $;581 300 грн;Хмельницкий
Opel Combo Cargo 2020Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1835141.html;19 394 $;542 400 грн;Днепр (Днепропетровск)
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855607.html;24 982 $;698 680 грн;Кропивницкий (Кировоград)
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1838109.html;30 422 $;850 810 грн;Запорожье
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1852723.html;20 640 $;577 230 грн;Одесса
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1825792.html;17 369 $;485 760 грн;Днепр (Днепропетровск)
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1850573.html;17 387 $;486 250 грн;Херсон
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1844315.html;27 890 $;780 000 грн;Одесса
Opel Corsa 2021Individual 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1837978.html;23 596 $;659 900 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1853470.html;23 331 $;652 500 грн;Днепр (Днепропетровск)
Opel Vivaro груз. 2020Essentia 2.0 BlueHDi MT (150 л.с.) L1;https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1855627.html;28 988 $;810 700 грн;Кропивницкий (Кировоград)
Opel Corsa 2020Individual 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1837938.html;21 258 $;594 520 грн;Хмельницкий
Opel Vivaro груз. 2020Essentia Crew Cab 2.0 BlueHDi MT (150 л.с.) L2;https://auto.ria.com/newauto/auto-opel-vivaro-gruz-1855628.html;36 636 $;1 024 600 грн;Кропивницкий (Кировоград)
Opel Movano груз. 20202.3TD МТ (125 л.с.) L2H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1848190.html;31 172 $;871 800 грн;Полтава
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1848290.html;23 276 $;650 970 грн;Запорожье
Opel Combo Cargo 2020Essentia 1.6 HDi MT (92 л.с.) L1 (650);https://auto.ria.com/newauto/auto-opel-combo-cargo-1836713.html;17 345 $;485 100 грн;Харьков
Opel Astra J 2019Individual 1.4Т МТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1836266.html;16 802 $;469 900 грн;Хмельницкий
Opel Crossland X 2019Individual 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1836265.html;21 450 $;599 900 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855851.html;22 884 $;640 000 грн;Черкассы
Opel Grandland X 2020Individual 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1823570.html;29 720 $;831 180 грн;Харьков
Opel Zafira Life 2020Business Innovation 2.0 BlueHDi 7AT (180 л.с.) L2 Innov.;https://auto.ria.com/newauto/auto-opel-zafira-life-1852135.html;55 151 $;1 542 400 грн;Харьков
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852605.html;23 242 $;650 000 грн;Киев
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L1 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1840511.html;24 941 $;697 530 грн;Киев
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1850638.html;25 982 $;726 630 грн;Херсон
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855135.html;21 258 $;594 520 грн;Херсон
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1850640.html;30 981 $;866 440 грн;Херсон
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1855205.html;28 247 $;790 000 грн;Киев
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1854268.html;21 454 $;600 000 грн;Киев
Opel Grandland X 2021Individual 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1784636.html;30 961 $;865 880 грн;Хмельницкий
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1852021.html;20 679 $;578 330 грн;Хмельницкий
Opel Movano груз. 20202.3TD МТ (125 л.с.) L2H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1848792.html;31 172 $;871 800 грн;Одесса
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1855740.html;17 631 $;493 100 грн;Запорожье
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852119.html;29 548 $;826 360 грн;Хмельницкий
Opel Combo Life 2021Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1844528.html;21 496 $;601 190 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1850568.html;25 283 $;707 090 грн;Херсон
Opel Grandland X 2020Individual 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1823802.html;24 982 $;698 680 грн;Хмельницкий
Opel Combo Cargo 2020Essentia 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1837601.html;19 394 $;542 400 грн;Харьков
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1852601.html;17 387 $;486 250 грн;Киев
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852604.html;23 242 $;650 000 грн;Киев
Opel Crossland X 2020Individual 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1838411.html;16 916 $;473 100 грн;Хмельницкий
Opel Movano груз. 20202.3TD МТ (145 л.с.) Start/Stop L3H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1855633.html;32 692 $;914 300 грн;Кропивницкий (Кировоград)
Opel Combo Cargo 2020Individual 1.6 HDi MT (92 л.с.) L2 (950);https://auto.ria.com/newauto/auto-opel-combo-cargo-1837003.html;19 394 $;542 400 грн;Хмельницкий
Opel Grandland X 2021Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1811801.html;30 502 $;853 050 грн;Хмельницкий
Opel Combo Life 2020Enjoy 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1851120.html;25 526 $;713 900 грн;Хмельницкий
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1852648.html;21 823 $;610 330 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1855641.html;23 209 $;649 080 грн;Кропивницкий (Кировоград)
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855136.html;21 258 $;594 520 грн;Херсон
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1855846.html;21 239 $;594 000 грн;Черкассы
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852602.html;22 902 $;640 500 грн;Киев
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1852603.html;23 242 $;650 000 грн;Киев
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1838793.html;20 640 $;577 230 грн;Полтава
Opel Insignia 2019Innovation Grand Sport 2.0D AT (170 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-insignia-1855283.html;35 395 $;989 900 грн;Хмельницкий
Opel Astra J 2020Enjoy 1.4Т МТ (140 л.с.);https://auto.ria.com/newauto/auto-opel-astra-j-1810322.html;17 356 $;485 400 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1851609.html;23 649 $;661 390 грн;Хмельницкий
Opel Grandland X 2020Individual 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1784664.html;23 342 $;652 810 грн;Хмельницкий
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1843928.html;17 387 $;486 250 грн;Хмельницкий
Opel Grandland X 2020Enjoy 1.5D 6MT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1820365.html;23 342 $;652 810 грн;Харьков
Opel Corsa 2020Elegance 1.2 PureTech STT AT (130 л.с.);https://auto.ria.com/newauto/auto-opel-corsa-1853813.html;20 785 $;581 300 грн;Киев
Opel Grandland X 2020Enjoy 1.5D 6AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1823576.html;25 116 $;702 410 грн;Хмельницкий
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1854003.html;24 288 $;679 270 грн;Запорожье
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1851006.html;28 624 $;800 520 грн;Хмельницкий
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L2;https://auto.ria.com/newauto/auto-opel-combo-life-1855137.html;21 823 $;610 330 грн;Херсон
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1855912.html;17 387 $;486 250 грн;Запорожье
Opel Combo Life 2020Innovation 1.5 BlueHDi AT (130 л.с.) L2 S/S;https://auto.ria.com/newauto/auto-opel-combo-life-1855138.html;29 569 $;826 950 грн;Херсон
Opel Crossland X 2020Innovation 1.2T AT (110 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1850570.html;23 514 $;657 630 грн;Херсон
Opel Combo Life 2020Enjoy 1.6D MT (92 л.с.) L1;https://auto.ria.com/newauto/auto-opel-combo-life-1852451.html;20 640 $;577 230 грн;Хмельницкий
Opel Crossland X 2020Enjoy 1.2 MT (82 л.с.);https://auto.ria.com/newauto/auto-opel-crossland-x-1855086.html;17 387 $;486 250 грн;Одесса
Opel Grandland X 2020Innovation 1.5D 8AT (130 л.с.) Start/Stop;https://auto.ria.com/newauto/auto-opel-grandland-x-1848397.html;29 678 $;830 000 грн;Одесса
Opel Movano груз. 20202.3TD МТA (150 л.с.) L3H2 3500 FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1855634.html;32 692 $;914 300 грн;Кропивницкий (Кировоград)
Opel Movano груз. 2020L3H2 2.3DT МТ (125 л.с.) FWD;https://auto.ria.com/newauto/auto-opel-movano-gruz-1847711.html;32 002 $;895 000 грн;Харьков
